"","X","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"257",257,1,5,1,1,5,53,0,1
"258",258,0,1,3,1,4,44,0,0
"259",259,0,2,3,0,4,53,0,0
"260",260,0,5,5,0,3,69,0,0
"261",261,1,2,NA,1,NA,27,0,0
"262",262,0,2,2,1,5,79,0,1
"263",263,0,2,5,1,5,44,1,0
"264",264,1,2,3,1,5,71,1,0
"265",265,1,5,4,0,4,35,1,0
"266",266,1,6,3,0,4,46,0,0
"267",267,1,3,3,0,5,28,1,0
"268",268,1,4,4,1,5,39,0,0
"269",269,1,5,2,1,5,69,0,1
"270",270,1,2,3,1,4,61,0,0
"271",271,0,5,3,0,5,59,0,1
"272",272,0,3,3,1,1,45,1,0
"273",273,0,6,1,1,4,72,0,1
"274",274,1,6,3,1,5,55,1,0
"275",275,1,6,2,0,4,82,0,1
"276",276,1,5,5,1,5,60,1,0
"277",277,1,6,3,0,5,61,0,1
"278",278,0,1,NA,1,4,26,0,0
"279",279,1,2,4,1,4,57,0,1
"280",280,0,2,3,1,5,38,0,1
"281",281,0,6,1,1,3,55,0,1
"282",282,0,5,2,1,5,39,0,0
"283",283,1,5,3,1,5,50,0,1
"284",284,0,1,1,1,5,50,0,1
"285",285,0,2,3,0,1,54,1,0
"286",286,0,3,4,0,4,68,0,0
"287",287,0,2,1,1,5,38,0,1
"288",288,1,2,1,0,5,28,0,1
"289",289,1,2,4,0,3,35,0,1
"290",290,1,4,2,0,3,67,0,1
"291",291,1,3,3,0,1,55,0,1
"292",292,1,4,2,0,4,61,0,0
"293",293,1,2,1,1,4,51,0,1
"294",294,1,4,5,0,2,43,1,0
"295",295,1,3,NA,0,5,58,0,0
"296",296,1,4,5,1,5,29,1,0
"297",297,1,4,1,1,3,58,0,0
"298",298,0,3,5,0,1,58,1,0
"299",299,1,6,3,1,5,32,0,1
"300",300,0,3,3,1,4,50,0,0
"301",301,0,3,4,1,4,74,1,0
"302",302,1,2,1,1,5,59,0,1
"303",303,1,2,NA,0,1,42,0,0
"304",304,0,4,3,0,5,58,0,1
"305",305,1,3,3,1,5,53,0,0
"306",306,0,5,3,1,5,36,0,1
"307",307,1,4,5,1,1,47,1,0
"308",308,1,3,1,0,5,39,0,1
