"","id","country","commie","me_nafr","ssafrica","asia","latin","female_vote","female_voteMOD","female_min","female_seats","female_seats95","gender_rights","laborfemaleMOD","closed_list","PR","polity","gdpcap2000","oil","zislam","female_seats_15"
"13","BFA","Burkina Faso",0,0,1,0,0,1958,1958,0.1,11.7,3.70000004768372,NA,48.3989372253418,1,1,-3.18181824684143,226.916687011719,0,0.623268067836761,0
"14","BGD","Bangladesh",0,0,0,0,0,1972,1972,0.1,2,9.10000038146973,NA,9.64639949798584,NA,0,6,326.145355224609,2.86998724937439,1.70922708511353,0
"15","BGR","Bulgaria",1,0,0,0,0,1944,1944,0.2,26.3,13.3000001907349,NA,48.0161514282227,1,1,8.27272701263428,1548.47546386719,40.0871887207031,-0.39376762509346,1
"16","BHR","Bahrain",0,1,0,0,0,1973,1973,0.1,0,0,2.46000003814697,4.09999990463257,NA,NA,-8.54545497894287,11723.8056640625,3421.5029296875,1.62008452415466,0
"17","BHS","Bahamas",0,0,0,0,1,1961,1961,0.3,20,8.19999980926514,NA,45.8777732849121,NA,0,8.14999961853027,14997.201171875,0,-0.723371386528015,1
"18","BIH","Bosnia and Herzegovina",1,0,0,0,0,1946,1946,0.1,16.7,NA,NA,38.1167373657227,NA,NA,0,1031.58850097656,0,0.688221335411072,1
"19","BLR","Belarus",1,0,0,0,0,1919,1919,0.1,29.4,NA,NA,49.0185432434082,1,NA,-3.81818175315857,1059.82727050781,0,-0.717014908790588,1
"20","BLZ","Belize",0,0,0,0,1,1954,1954,0.1,6.7,3.40000009536743,NA,21.9983711242676,NA,0,8.14999961853027,3118.32177734375,0,-0.707794725894928,0
"21","BOL","Bolivia",0,0,0,0,1,1938,1938,0.1,19.2,6.90000009536743,NA,36.7404632568359,1,1,8.90909099578857,983.181579589844,107.003211975098,-0.722807288169861,1
"22","BRA","Brazil",0,0,0,0,1,1934,1934,0.1,8.6,6.59999990463257,NA,28.1498413085938,0,1,8,3432.97778320312,42.4390754699707,-0.720551073551178,0
"23","BRB","Barbados",0,0,0,0,1,1950,1950,0.3,13.3,10.6999998092651,NA,44.4974136352539,NA,0,8.14999961853027,8879.62109375,65.3534393310547,-0.705104649066925,0
"24","BRN","Brunei Darussalam",0,0,0,1,0,NA,NA,0.1,0,0,NA,34.7255210876465,NA,NA,-5.3600001335144,NA,13438.8515625,0.941525638103485,0
"25","BTN","Bhutan",0,0,0,0,0,NA,NA,NA,NA,2,NA,39.6268844604492,0,NA,-8,565.306457519531,0.0117591461166739,-0.694908261299133,NA
"26","BWA","Botswana",0,0,1,0,0,1965,1965,0.3,11.1,8.5,NA,39.447021484375,NA,0,8.6363639831543,2931.14379882812,17.1295375823975,-0.717622339725494,0
"27","CAF","Central African Republic",0,0,1,0,0,1986,1986,0.1,NA,3.5,NA,46.6647529602051,NA,0,4.45454549789429,247.013397216797,0,-0.295773804187775,NA
"28","CAN","Canada",0,0,0,0,0,1917,1917,0.2,21.1,18,NA,44.4769897460938,NA,0,10,21525.05859375,1162.49060058594,-0.696079730987549,1
"29","CHE","Switzerland",0,0,0,0,0,1971,1971,0.1,25,21,NA,38.7040328979492,0,1,10,32879.9609375,0.0509715341031551,-0.654491484165192,1
"30","CHL","Chile",0,0,0,0,1,1931,1931,0.2,12.5,7.5,NA,31.3188591003418,1,0,8.3636360168457,4675.6220703125,43.2082824707031,-0.722525298595428,0
"31","CHN","China",1,0,0,1,0,1949,1949,0.1,20.2,21,NA,45.1146240234375,NA,NA,-7,761.802062988281,60.5829620361328,-0.679136395454407,1
"32","CIV","Cote d'Ivoire",0,0,1,0,0,1952,1952,0.2,8.5,8.30000019073486,NA,32.5483436584473,NA,0,-2.72727274894714,658.451904296875,20.6942939758301,0.0569562129676342,0
"33","CMR","Cameroon",0,0,1,0,0,1946,1946,0.1,8.9,12.1999998092651,NA,37.735725402832,0,0,-4,569.971862792969,173.254791259766,-0.171746626496315,0
"34","COG","Congo",0,0,1,0,0,1961,1961,0.1,8.5,1.60000002384186,NA,43.2684631347656,NA,NA,-1.54545450210571,956.117065429688,520.464904785156,-0.692912340164185,0
"35","COL","Colombia",0,0,0,0,1,1954,1954,0.4,12,11.6999998092651,NA,37.9623336791992,1,1,7.36363649368286,2018.791015625,111.084213256836,-0.720269083976746,0
"36","COM","Comoros",0,0,1,0,0,1956,1956,NA,3,0,NA,43.294075012207,NA,0,2.27272725105286,372.777404785156,0,2.05336618423462,0
"37","CPV","Cape Verde",0,0,1,0,0,1975,1975,0.2,11.1,11.1000003814697,NA,39.1409912109375,NA,1,8.14999961853027,1120.28381347656,0,-0.655793190002441,0
"38","CRI","Costa Rica",0,0,0,0,1,1949,1949,0.3,35.1,15.8000001907349,NA,29.1178760528564,1,1,10,3929.67578125,0,-0.723371386528015,1
"39","CUB","Cuba",1,0,0,0,1,1934,1934,0.2,36,22.7999992370605,NA,38.8485260009766,1,1,-7,NA,14.9014101028442,-0.721115171909332,1
"40","CYP","Cyprus",0,0,0,0,0,1960,1960,0,16.1,5.40000009536743,NA,35.5996017456055,0,1,10,11243.9951171875,0,-0.693519830703735,1
